城市,日期,温度,天气,湿度,风向,紫外线,空气质量,PM值,日出,日落
寿阳,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,阴-9 ~ 4℃,湿度：74%,风向：西风 4级,紫外线：很弱,空气质量：良,PM: 72,07:41,17:13
朔州,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-9 ~ -1℃,湿度：35%,风向：西风 4级,紫外线：弱,空气质量：良,PM: 27,07:48,17:12
山阴,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-10 ~ -1℃,湿度：28%,风向：西风 5级,紫外线：中等,空气质量：良,PM: 24,07:47,17:10
朔城,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-10 ~ -1℃,湿度：35%,风向：西风 4级,紫外线：弱,空气质量：良,PM: 27,07:48,17:12
神池,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,晴-13 ~ -4℃,湿度：40%,风向：西风 4级,紫外线：弱,空气质量：良,PM: 12,07:48,17:14
石楼,2024年12月25日　星期三　甲辰年冬月廿五,-7℃,多云-7 ~ 1℃,湿度：85%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 47,07:47,17:25
三原,2024年12月25日　星期三　甲辰年冬月廿五,4℃,轻度雾霾-2 ~ 7℃,湿度：65%,风向：西南风 1级,紫外线：中等,空气质量：轻度污染,PM: 91,07:49,17:39
神木,2024年12月25日　星期三　甲辰年冬月廿五,-8℃,晴-9 ~ -1℃,湿度：67%,风向：西风 2级,紫外线：弱,空气质量：良,PM: 31,07:54,17:21
绥德,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,雾-9 ~ 2℃,湿度：81%,风向：西北风 2级,紫外线：很弱,空气质量：良,PM: 47,07:51,17:26
商洛,2024年12月25日　星期三　甲辰年冬月廿五,1℃,晴-4 ~ 7℃,湿度：72%,风向：西北风 1级,紫外线：中等,空气质量：良,PM: 48,07:43,17:37
商州,2024年12月25日　星期三　甲辰年冬月廿五,-1℃,晴-3 ~ 6℃,湿度：72%,风向：西北风 2级,紫外线：弱,空气质量：良,PM: 46,07:43,17:37
商南,2024年12月25日　星期三　甲辰年冬月廿五,1℃,晴-1 ~ 9℃,湿度：81%,风向：西北风 2级,紫外线：弱,空气质量：良,PM: 44,07:38,17:34
山阳,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,晴-3 ~ 7℃,湿度：90%,风向：北风 2级,紫外线：弱,空气质量：良,PM: 44,07:42,17:38
单县,2024年12月25日　星期三　甲辰年冬月廿五,5℃,中度雾霾-1 ~ 8℃,湿度：75%,风向：西南风 1级,紫外线：弱,空气质量：中度污染,PM: 117,07:20,17:10
睢县,2024年12月25日　星期三　甲辰年冬月廿五,1℃,中度雾霾-2 ~ 8℃,湿度：77%,风向：西南风 2级,紫外线：弱,空气质量：中度污染,PM: 123,07:24,17:15
苏州,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾6 ~ 11℃,湿度：82%,风向：东风 1级,紫外线：很弱,空气质量：良,PM: 52,06:54,17:01
绍兴,2024年12月25日　星期三　甲辰年冬月廿五,10℃,阴7 ~ 14℃,湿度：83%,风向：西南风 1级,紫外线：很弱,空气质量：良,PM: 45,06:51,17:04
嵊州,2024年12月25日　星期三　甲辰年冬月廿五,8℃,阴6 ~ 17℃,湿度：85%,风向：南风 1级,紫外线：很弱,空气质量：良,PM: 34,06:49,17:04
三门,2024年12月25日　星期三　甲辰年冬月廿五,11℃,中雨6 ~ 14℃,湿度：81%,风向：东北风 0级,紫外线：很弱,空气质量：良,PM: 33,06:45,17:03
蜀山,2024年12月25日　星期三　甲辰年冬月廿五,5℃,轻度雾霾3 ~ 11℃,湿度：74%,风向：西北风 2级,紫外线：很弱,空气质量：轻度污染,PM: 82,07:08,17:13
三明,2024年12月25日　星期三　甲辰年冬月廿五,11℃,晴9 ~ 17℃,湿度：84%,风向：东北风 1级,紫外线：弱,空气质量：良,PM: 38,06:54,17:24
三元,2024年12月25日　星期三　甲辰年冬月廿五,16℃,晴7 ~ 18℃,湿度：76%,风向：东北风 1级,紫外线：强,空气质量：良,PM: 44,06:54,17:24
顺昌,2024年12月25日　星期三　甲辰年冬月廿五,11℃,晴8 ~ 18℃,湿度：84%,风向：东北风 1级,紫外线：中等,空气质量：优,PM: 25,06:55,17:22
邵武,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴5 ~ 17℃,湿度：82%,风向：北风 0级,紫外线：中等,空气质量：优,PM: 29,06:57,17:22
松溪,2024年12月25日　星期三　甲辰年冬月廿五,13℃,晴7 ~ 19℃,湿度：73%,风向：西风 1级,紫外线：中等,空气质量：良,PM: 38,06:52,17:17
上饶,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 15℃,湿度：78%,风向：东北风 1级,紫外线：中等,空气质量：良,PM: 54,06:58,17:18
上饶,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴6 ~ 15℃,湿度：78%,风向：东北风 1级,紫外线：中等,空气质量：良,PM: 54,06:58,17:18
上高,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾6 ~ 14℃,湿度：87%,风向：北风 1级,紫外线：弱,空气质量：轻度污染,PM: 88,07:09,17:30
遂川,2024年12月25日　星期三　甲辰年冬月廿五,10℃,晴4 ~ 14℃,湿度：66%,风向：北风 1级,紫外线：中等,空气质量：良,PM: 60,07:07,17:36
上犹,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴5 ~ 15℃,湿度：73%,风向：北风 1级,紫外线：中等,空气质量：良,PM: 58,07:05,17:37
汕头,2024年12月25日　星期三　甲辰年冬月廿五,17℃,阴17 ~ 21℃,湿度：65%,风向：东北风 3级,紫外线：很弱,空气质量：优,PM: 28,06:52,17:34
三亚,2024年12月25日　星期三　甲辰年冬月廿五,24℃,阴转小雨19 ~ 24℃,湿度：68%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 22,07:10,18:13
通辽,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,晴-10 ~ -2℃,湿度：40%,风向：西风 4级,紫外线：弱,空气质量：良,PM: 29,07:22,16:19
桐柏,2024年12月25日　星期三　甲辰年冬月廿五,4℃,晴2 ~ 10℃,湿度：60%,风向：西北风 1级,紫外线：弱,空气质量：良,PM: 69,07:25,17:27
台州,2024年12月25日　星期三　甲辰年冬月廿五,12℃,雾9 ~ 16℃,湿度：68%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 35,06:44,17:04
太湖,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾4 ~ 13℃,湿度：75%,风向：北风 1级,紫外线：弱,空气质量：轻度污染,PM: 97,07:09,17:20
桐城,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾4 ~ 12℃,湿度：76%,风向：北风 2级,紫外线：很弱,空气质量：轻度污染,PM: 94,07:08,17:16
铜官山,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 12℃,湿度：84%,风向：西北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 95,07:04,17:13
渭南,2024年12月25日　星期三　甲辰年冬月廿五,-0℃,轻度雾霾-1 ~ 8℃,湿度：54%,风向：南风 1级,紫外线：无,空气质量：轻度污染,PM: 76,07:46,17:37
乌鲁木齐,2024年12月25日　星期三　甲辰年冬月廿五,-22℃,轻度雾霾-22 ~ -12℃,湿度：83%,风向：南风 1级,紫外线：无,空气质量：轻度污染,PM: 106,09:42,18:37
乌鲁木齐,2024年12月25日　星期三　甲辰年冬月廿五,-22℃,轻度雾霾-22 ~ -12℃,湿度：83%,风向：南风 1级,紫外线：无,空气质量：轻度污染,PM: 106,09:42,18:37
无锡,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 11℃,湿度：93%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 55,06:55,17:01
吴中,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾6 ~ 11℃,湿度：75%,风向：东风 1级,紫外线：很弱,空气质量：良,PM: 46,06:53,17:01
武汉,2024年12月25日　星期三　甲辰年冬月廿五,8℃,轻度雾霾4 ~ 11℃,湿度：84%,风向：北风 1级,紫外线：中等,空气质量：轻度污染,PM: 78,07:17,17:28
温岭,2024年12月25日　星期三　甲辰年冬月廿五,11℃,雾转小雨10 ~ 14℃,湿度：75%,风向：北风 2级,紫外线：很弱,空气质量：优,PM: 27,06:44,17:04
温州,2024年12月25日　星期三　甲辰年冬月廿五,11℃,雾11 ~ 16℃,湿度：68%,风向：北风 1级,紫外线：很弱,空气质量：优,PM: 32,06:46,17:08
芜湖,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾5 ~ 12℃,湿度：83%,风向：西北风 2级,紫外线：弱,空气质量：轻度污染,PM: 87,07:02,17:09
五华,2024年12月25日　星期三　甲辰年冬月廿五,11℃,多云11 ~ 19℃,湿度：57%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 42,06:57,17:36
涠洲岛,2024年12月25日　星期三　甲辰年冬月廿五,18℃,轻度雾霾18 ~ 21℃,湿度：56%,风向：东风 3级,紫外线：很弱,空气质量：轻度污染,PM: 78,07:17,18:09
文昌,2024年12月25日　星期三　甲辰年冬月廿五,18℃,阴转小雨18 ~ 21℃,湿度：89%,风向：北风 4级,紫外线：很弱,空气质量：良,PM: 39,07:08,18:05
万宁,2024年12月25日　星期三　甲辰年冬月廿五,19℃,阴转小雨18 ~ 21℃,湿度：86%,风向：北风 4级,紫外线：很弱,空气质量：优,PM: 14,07:08,18:08
五指山,2024年12月25日　星期三　甲辰年冬月廿五,19℃,阴15 ~ 21℃,湿度：85%,风向：东北风 2级,紫外线：很弱,空气质量：优,PM: 3,07:11,18:12
秀山,2024年12月25日　星期三　甲辰年冬月廿五,6℃,雾5 ~ 9℃,湿度：66%,风向：东北风 1级,紫外线：很弱,空气质量：优,PM: 24,07:33,17:54
锡林郭勒,2024年12月25日　星期三　甲辰年冬月廿五,-15℃,阴-20 ~ -13℃,湿度：57%,风向：西风 5级,紫外线：很弱,空气质量：优,PM: 13,07:48,16:43
兴安盟,2024年12月25日　星期三　甲辰年冬月廿五,-9℃,晴-13 ~ -8℃,湿度：56%,风向：北风 3级,紫外线：弱,空气质量：优,PM: 14,07:32,16:11
新蔡,2024年12月25日　星期三　甲辰年冬月廿五,4℃,中度雾霾-0 ~ 10℃,湿度：70%,风向：南风 1级,紫外线：弱,空气质量：中度污染,PM: 118,07:20,17:20
新吴,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾5 ~ 12℃,湿度：92%,风向：东南风 1级,紫外线：很弱,空气质量：良,PM: 51,06:55,17:01
相城,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾5 ~ 12℃,湿度：83%,风向：东风 2级,紫外线：很弱,空气质量：良,PM: 51,06:54,17:00
响水,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴-0 ~ 9℃,湿度：88%,风向：西风 2级,紫外线：中等,空气质量：良,PM: 63,07:05,16:58
徐州,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,轻度雾霾-2 ~ 9℃,湿度：79%,风向：东南风 1级,紫外线：很弱,空气质量：轻度污染,PM: 105,07:14,17:07
襄阳,2024年12月25日　星期三　甲辰年冬月廿五,6℃,轻度雾霾3 ~ 9℃,湿度：53%,风向：西南风 1级,紫外线：弱,空气质量：轻度污染,PM: 99,07:29,17:33
象山,2024年12月25日　星期三　甲辰年冬月廿五,9℃,小雨转雾9 ~ 14℃,湿度：92%,风向：西北风 1级,紫外线：很弱,空气质量：良,PM: 46,06:44,17:00
新昌,2024年12月25日　星期三　甲辰年冬月廿五,9℃,雾6 ~ 16℃,湿度：83%,风向：南风 0级,紫外线：很弱,空气质量：良,PM: 40,06:48,17:04
湘乡,2024年12月25日　星期三　甲辰年冬月廿五,3℃,晴3 ~ 14℃,湿度：85%,风向：北风 1级,紫外线：无,空气质量：良,PM: 47,07:18,17:41
兴义,2024年12月25日　星期三　甲辰年冬月廿五,7℃,轻度雾霾6 ~ 15℃,湿度：95%,风向：东南风 2级,紫外线：很弱,空气质量：轻度污染,PM: 88,07:43,18:18
延吉,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,晴-12 ~ 1℃,湿度：81%,风向：西南风 1级,紫外线：很弱,空气质量：优,PM: 24,06:51,15:52
于洪,2024年12月25日　星期三　甲辰年冬月廿五,-4℃,轻度雾霾-7 ~ 3℃,湿度：87%,风向：南风 3级,紫外线：很弱,空气质量：轻度污染,PM: 91,07:12,16:21
永城,2024年12月25日　星期三　甲辰年冬月廿五,-3℃,轻度雾霾-3 ~ 9℃,湿度：83%,风向：西风 2级,紫外线：很弱,空气质量：轻度污染,PM: 114,07:17,17:11
扬州,2024年12月25日　星期三　甲辰年冬月廿五,4℃,轻度雾霾4 ~ 12℃,湿度：91%,风向：北风 1级,紫外线：很弱,空气质量：轻度污染,PM: 83,07:01,17:03
盐城,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴-0 ~ 12℃,湿度：79%,风向：南风 1级,紫外线：弱,空气质量：良,PM: 54,07:00,16:57
鄞州,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾4 ~ 16℃,湿度：96%,风向：西风 1级,紫外线：很弱,空气质量：良,PM: 49,06:46,17:00
义乌,2024年12月25日　星期三　甲辰年冬月廿五,8℃,多云7 ~ 16℃,湿度：82%,风向：西风 0级,紫外线：弱,空气质量：良,PM: 59,06:51,17:08
玉山,2024年12月25日　星期三　甲辰年冬月廿五,9℃,晴6 ~ 16℃,湿度：84%,风向：北风 1级,紫外线：弱,空气质量：良,PM: 75,06:57,17:16
宜宾,2024年12月25日　星期三　甲辰年冬月廿五,7℃,雾7 ~ 9℃,湿度：97%,风向：西北风 1级,紫外线：很弱,空气质量：良,PM: 55,07:52,18:11
雨城,2024年12月25日　星期三　甲辰年冬月廿五,7℃,阴转小雨4 ~ 9℃,湿度：100%,风向：西北风 1级,紫外线：很弱,空气质量：优,PM: 29,08:01,18:14
阳江,2024年12月25日　星期三　甲辰年冬月廿五,16℃,阴16 ~ 20℃,湿度：56%,风向：北风 2级,紫外线：很弱,空气质量：良,PM: 42,07:08,17:56
玉溪,2024年12月25日　星期三　甲辰年冬月廿五,7℃,晴6 ~ 19℃,湿度：90%,风向：西南风 1级,紫外线：无,空气质量：优,PM: 24,07:50,18:28
玉龙,2024年12月25日　星期三　甲辰年冬月廿五,5℃,晴-2 ~ 15℃,湿度：65%,风向：西风 2级,紫外线：中等,空气质量：优,PM: 34,08:05,18:32
肇源,2024年12月25日　星期三　甲辰年冬月廿五,-11℃,晴-17 ~ -7℃,湿度：69%,风向：西南风 3级,紫外线：很弱,空气质量：良,PM: 34,07:18,16:01
庄河,2024年12月25日　星期三　甲辰年冬月廿五,-6℃,晴-6 ~ 5℃,湿度：78%,风向：西风 2级,紫外线：弱,空气质量：良,PM: 69,07:07,16:29
淄博,2024年12月25日　星期三　甲辰年冬月廿五,-2℃,中度雾霾-2 ~ 9℃,湿度：77%,风向：西南风 2级,紫外线：很弱,空气质量：中度污染,PM: 117,07:18,16:57
枣庄,2024年12月25日　星期三　甲辰年冬月廿五,5℃,中度雾霾-1 ~ 8℃,湿度：47%,风向：西北风 1级,紫外线：中等,空气质量：中度污染,PM: 117,07:16,17:05
郑州,2024年12月25日　星期三　甲辰年冬月廿五,2℃,中度雾霾-2 ~ 11℃,湿度：73%,风向：西北风 1级,紫外线：弱,空气质量：中度污染,PM: 123,07:30,17:20
周口,2024年12月25日　星期三　甲辰年冬月廿五,5℃,中度雾霾-0 ~ 10℃,湿度：61%,风向：西北风 1级,紫外线：弱,空气质量：中度污染,PM: 116,07:23,17:19
张家港,2024年12月25日　星期三　甲辰年冬月廿五,8℃,雾5 ~ 11℃,湿度：81%,风向：东南风 1级,紫外线：很弱,空气质量：良,PM: 68,06:56,17:00
资溪,2024年12月25日　星期三　甲辰年冬月廿五,6℃,晴3 ~ 15℃,湿度：87%,风向：北风 1级,紫外线：中等,空气质量：良,PM: 66,07:00,17:23
珠海,2024年12月25日　星期三　甲辰年冬月廿五,17℃,阴16 ~ 20℃,湿度：59%,风向：北风 3级,紫外线：很弱,空气质量：良,PM: 46,07:02,17:49
湛江,2024年12月25日　星期三　甲辰年冬月廿五,18℃,阴15 ~ 22℃,湿度：67%,风向：东北风 2级,紫外线：很弱,空气质量：良,PM: 61,07:13,18:04
中山,2024年12月25日　星期三　甲辰年冬月廿五,16℃,阴16 ~ 21℃,湿度：67%,风向：北风 3级,紫外线：很弱,空气质量：良,PM: 38,07:03,17:49
